Kürzel,"Es war einfach zu verstehen, wie Aktionen im Spiel auszuführen sind.",Die Aktionen zur Spielsteuerung waren für mich klar,Ich fand das Spiel war leicht zu bedienen,Ich habe das Gesamtziel des Spiels verstanden,Die Ziele des Spiels waren für mich klar verständlich,Ich habe meine Aufgaben im Spiel verstanden,Das Spiel war weder zu einfach noch zu schwierig,"Das Spiel war herausfordernd, aber nicht zu sehr",Der Schwierigkeitsgrad des Spiels war für mich angemessen,Das Spiel informierte mich über meinen Spielfortschritt,Ich konnte meine Leistung im Spiel leicht einschätzen,Das Spiel gab mir klares Feedback über meinen Fortschritt auf dem Weg zu den einzelnen Zielen,"Mir gefiel die Art und Weise, wie das Spiel gestaltet war",Mir gefiel das Aussehen (Look and Feel) des Spiels,Ich schätzte die Ästhetik des Spiels,Das Spiel zu spielen war für mich bedeutsam,Das Spiel fühlte sich für mich wichtig an,Das Spiel zu spielen war ein wertvoller Zeitvertreib für mich,"Ich wollte entdecken, wie sich das Spiel entwickelt","Ich wollte herausfinden, wie das Spiel verläuft","Ich war gespannt darauf, wie das Spiel weitergeht",Ich hatte das Gefühl gut in dem Spiel zu sein,"Ich fühlte mich kompetent, während ich das Spiel spielte",Ich hatte das Gefühl das Spiel gut zu meistern,"Ich war mir meiner direkten Umgebung nicht mehr bewusst, während ich spielte",Ich war in das Spiel vertieft,Ich war voll auf das Spiel konzentriert,"Ich hatte das Gefühl, das Spiel auf meine eigene Art spielen zu können","Ich hatte das Gefühl, die Wahl zu haben, wie ich das Spiel spielen wollte","Ich hatte das Gefühl, das Spiel so spielen zu können, wie ich es wollte",Die UI Anzeige hat mir beim Verständnis der Spielmechaniken geholfen,Das Spiel hat sich durch die UI Anzeige einfacher angefühlt,"Die UI Anzeige hat dazu geführt, dass ich mich mehr auf das Spiel konzentrieren konnte",Die Metronom Tonspur hat das Spiel einfacher gemacht
053332,6,4,6,6,6,6,5,5,5,3,3,2,5,5,5,4,3,5,4,4,4,2,2,3,4,6,5,4,4,4,5,6,6,6
510049,5,5,6,5,5,6,0,0,1,4,6,5,4,3,4,5,6,5,6,6,6,6,6,6,5,5,5,2,2,2,4,4,2,5
807289,6,6,6,4,4,4,3,3,3,1,2,5,4,4,4,1,2,3,5,3,4,2,2,2,3,3,3,2,2,2,0,4,0,4
071225,4,6,6,6,5,6,5,5,6,5,6,5,4,4,3,3,0,1,3,3,3,6,5,5,6,5,5,5,1,1,5,5,6,5
975229,6,6,5,6,6,6,6,6,6,6,6,6,4,3,1,3,2,4,4,4,4,4,5,5,4,4,5,4,1,3,5,4,3,6
356499,4,4,5,5,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,4,4,5,5,5,3,3,4,4,4,4,5,5,5,4
870227,6,6,4,6,6,6,6,6,6,6,6,6,6,4,2,2,1,6,4,5,5,6,6,6,0,1,5,2,1,1,6,6,6,6
297088,6,6,6,6,6,6,6,6,6,3,4,2,6,5,4,4,2,6,6,6,4,4,6,4,6,6,6,4,4,4,5,5,3,6
232962,5,5,6,5,5,5,3,1,1,4,6,4,5,6,5,0,0,4,3,3,3,6,4,6,2,1,1,6,5,5,6,6,4,1
199195,6,6,6,6,6,6,6,6,6,6,5,5,6,5,4,4,4,3,5,5,6,3,4,3,6,6,5,3,4,5,4,3,4,2
